Mach Number,CD
2.551501,0.3443793
2.551853,0.3443553
2.55218,0.3443341
2.552484,0.3443155
2.552765,0.3442995
2.553021,0.3442863
2.553254,0.3442757
2.553464,0.3442677
2.553649,0.3442625
2.553811,0.3442599
2.553949,0.34426
2.554068,0.3442622
2.554169,0.3442665
2.554253,0.3442726
2.55432,0.3442807
2.554369,0.3442908
2.5544,0.3443029
2.554415,0.3443168
